beer_rating,ba_score,no_reviews,no_ratings,abv,avail,style,state
3.97,89.0,268,1,5.5,Rotating,American Pale Ale (APA),California
4.06,89.0,10,102,12.6,Retired (no longer brewed),American Strong Ale,California
3.9,,6,9,4.5,Retired (no longer brewed),American Stout,Massachusetts
3.76,85.0,15,102,9.0,Retired (no longer brewed),Belgian Saison,Georgia
3.94,87.0,13,53,10.0,Retired (no longer brewed),Belgian Tripel,Georgia
4.03,87.0,15,35,7.0,Retired (no longer brewed),Belgian Pale Ale,Georgia
2.94,,1,2,5.0,Rotating,American Amber / Red Lager,Missouri
3.66,83.0,839,3,5.4,Year-round,American Pale Ale (APA),Georgia
4.02,90.0,161,460,6.0,Rotating,Foreign / Export Stout,World
3.88,87.0,129,422,6.5,Retired (no longer brewed),American IPA,California
3.95,86.0,6,14,6.0,Retired (no longer brewed),American Pale Ale (APA),California
3.99,89.0,34,316,6.3,Retired (no longer brewed),American Wild Ale,Utah
3.69,83.0,123,596,6.4,Retired (no longer brewed),English Extra Special / Strong Bitter (ESB),Illinois
4.13,90.0,46,47,,Retired (no longer brewed),British Barleywine,New Jersey
3.95,88.0,343,531,8.3,Retired (no longer brewed),German Maibock,California
4.24,94.0,666,1,9.2,Retired (no longer brewed),American Imperial Stout,California
4.22,93.0,465,808,9.2,Retired (no longer brewed),American Strong Ale,California
4.16,92.0,437,824,10.2,Retired (no longer brewed),American Barleywine,California
3.66,83.0,839,3,5.4,Year-round,American Pale Ale (APA),Georgia
4.06,90.0,14,108,8.0,Retired (no longer brewed),American Imperial IPA,Georgia
4.0,89.0,102,388,6.0,Rotating,American IPA,Georgia
4.01,90.0,16,62,9.7,Retired (no longer brewed),American Imperial IPA,Colorado
4.3,,1,1,,Retired (no longer brewed),Bohemian Pilsener,Colorado
3.94,88.0,816,2,9.2,Rotating,American Imperial IPA,Colorado
4.07,90.0,38,91,6.5,Rotating,American IPA,New Hampshire
3.39,,1,6,5.2,Rotating,German Pilsner,Tennessee
3.88,87.0,160,760,7.2,Rotating,English Sweet / Milk Stout,Colorado
4.21,93.0,7,66,,Retired (no longer brewed),Berliner Weisse,Florida
4.24,94.0,611,3,8.7,Rotating,American Imperial IPA,California
4.22,94.0,1,9,7.5,Year-round,American IPA,California
3.78,,2,7,6.0,Year-round,Belgian Saison,World
3.42,78.0,273,1,4.2,Rotating,Herb and Spice Beer,Colorado
3.66,83.0,839,3,5.4,Year-round,American Pale Ale (APA),Georgia
4.14,90.0,5,16,7.3,Rotating,American Imperial IPA,Vermont
3.78,,0,1,5.5,Rotating,American Pale Wheat Ale,Colorado
3.78,85.0,311,682,8.0,Year-round,American Imperial IPA,Idaho
3.86,86.0,15,65,7.5,Fall,German Altbier,New Hampshire
3.8,85.0,478,1,4.7,Year-round,English Extra Special / Strong Bitter (ESB),World
3.91,,1,8,6.5,Rotating,Belgian Witbier,Colorado
3.87,88.0,6,26,11.0,Retired (no longer brewed),American Imperial IPA,Colorado
4.33,96.0,300,1,11.0,Retired (no longer brewed),American Imperial Stout,Michigan
